what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.help.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.help.ui",1383241049656
stopped,bundle,org.eclipse.mylyn.java.tasks,3.8.4.v20130429-0100,"org.eclipse.mylyn.java.tasks",1383241049656
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.bugs",1383241049656
stopped,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1383241049657
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.7.4.v20130429-0100,"org.eclipse.mylyn.wikitext.tasks.ui",1383241049657
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.ui",1383241049657
stopped,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.4.v20130429-0100,"org.eclipse.mylyn.commons.notifications.feed",1383241049657
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1383241049657
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.300.v20110502,"org.eclipse.equinox.jsp.jasper",1383241049657
stopped,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1383241049657
stopped,bundle,com.google.gdt.eclipse.designer.GWTExt,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.GWTExt",1383241049657
stopped,bundle,com.google.gdt.eclipse.designer.GXT.databinding,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.GXT.databinding",1383241049657
stopped,bundle,com.google.gdt.eclipse.designer.GXT,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.GXT",1383241049657
stopped,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.SmartGWT",1383241049657
stopped,bundle,com.google.gdt.eclipse.designer.UiBinder.wizards,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.UiBinder.wizards",1383241049657
stopped,bundle,com.google.gdt.eclipse.designer.launch,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.launch",1383241049657
stopped,bundle,com.google.gdt.eclipse.designer.preferences,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.preferences",1383241049657
stopped,bundle,com.google.gdt.eclipse.designer.wizards,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.wizards",1383241049657
stopped,bundle,com.google.gdt.eclipse.designer.UiBinder,3.1.2.r37x201303061530,"com.google.gdt.eclipse.designer.UiBinder",1383241049658
stopped,bundle,com.google.gdt.eclipse.designer,3.1.2.r37x201303061530,"com.google.gdt.eclipse.designer",1383241049658
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1383241049658
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1383241049658
stopped,bundle,com.collabnet.subversion.merge,3.0.13,"com.collabnet.subversion.merge",1383241049659
stopped,bundle,org.tigris.subversion.subclipse.graph,1.1.1,"org.tigris.subversion.subclipse.graph",1383241049659
stopped,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1383241049660
stopped,bundle,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui",1383241049662
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1383241049663
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1383241049664
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1383241049664
stopped,bundle,org.eclipse.mylyn.ide.ant,3.8.4.v20130429-0100,"org.eclipse.mylyn.ide.ant",1383241049664
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1383241049665
stopped,bundle,org.eclipse.mylyn.java.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.java.ui",1383241049665
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1383241049665
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1383241049665
stopped,bundle,com.google.gdt.eclipse.platform.shared,3.1.0.v201208080120-rel-r37,"com.google.gdt.eclipse.platform.shared",1383241049665
stopped,bundle,org.eclipse.jpt.jpa.db,2.0.0.v201105030000,"org.eclipse.jpt.jpa.db",1383241049665
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v201107221501,"org.eclipse.datatools.enablement.jdt.classpath",1383241049665
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1383241049669
stopped,bundle,com.google.gdt.eclipse.designer.hosted.2_0.webkit,3.1.2.r37x201303061525,"com.google.gdt.eclipse.designer.hosted.2_0.webkit",1383241049669
stopped,bundle,com.google.gdt.eclipse.designer.hosted.2_0,3.1.2.r37x201303061525,"com.google.gdt.eclipse.designer.hosted.2_0",1383241049669
stopped,bundle,org.eclipse.wb.swing.databinding,1.5.0.r37x201206111310,"org.eclipse.wb.swing.databinding",1383241049669
stopped,bundle,org.eclipse.wb.core.databinding.xml,1.5.2.r37x201303061518,"org.eclipse.wb.core.databinding.xml",1383241049669
stopped,bundle,org.eclipse.wb.core.databinding,1.5.2.r37x201303061505,"org.eclipse.wb.core.databinding",1383241049669
stopped,bundle,org.eclipse.wb.swing.FormLayout,1.5.0.r37x201206111310,"org.eclipse.wb.swing.FormLayout",1383241049669
stopped,bundle,org.eclipse.wb.swing.MigLayout,1.5.0.r37x201206111310,"org.eclipse.wb.swing.MigLayout",1383241049669
stopped,bundle,org.eclipse.wb.swing.java6,1.5.0.r37x201206111310,"org.eclipse.wb.swing.java6",1383241049669
stopped,bundle,org.eclipse.wb.swing.jsr296,1.5.0.r37x201206111310,"org.eclipse.wb.swing.jsr296",1383241049669
stopped,bundle,org.eclipse.wb.swing,1.5.0.r37x201206111310,"org.eclipse.wb.swing",1383241049669
stopped,bundle,org.eclipse.wb.core.ui,1.5.2.r37x201303061516,"org.eclipse.wb.core.ui",1383241049669
stopped,bundle,org.eclipse.wb.core.xml,1.5.2.r37x201303061518,"org.eclipse.wb.core.xml",1383241049669
stopped,bundle,org.eclipse.wb.core.java,1.5.2.r37x201303061505,"org.eclipse.wb.core.java",1383241049669
stopped,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1383241049675
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1383241049676
